adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0MCWQA,ADCC000889,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000888,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000887,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000886,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000882,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000880,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MJNCJ,ADCC001871,Half Maximal Effective Concentration (EC50),=,0.16,ug/mL,Other,non_molar_or_missing_value
DRG0MJNCJ,ADCC001872,Half Maximal Effective Concentration (EC50),=,4.7,ug/mL,Other,non_molar_or_missing_value
DRG0MKPHL,ADCC001875,Half Maximal Effective Concentration (EC50),=,0.19,ug/mL,Other,non_molar_or_missing_value
DRG0MKPHL,ADCC001876,Half Maximal Effective Concentration (EC50),=,2.9,ug/mL,Other,non_molar_or_missing_value
DRG0MNHFT,ADCC001444,Half Maximal Inhibitory Concentration (IC50),=,3.6,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0MNHFT,ADCC001443,Half Maximal Inhibitory Concentration (IC50),=,5.37,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0MNHFT,ADCC001447,Half Maximal Inhibitory Concentration (IC50),=,5.9,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0MNHFT,ADCC001446,Half Maximal Inhibitory Concentration (IC50),=,36.1,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0MNHFT,ADCC001445,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,DNA-damaging,non_molar_or_missing_value
DRG0MOFZM,ADCC008157,Max inhibition rate (MIR),=,57.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008152,Max inhibition rate (MIR),=,70.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008147,Max inhibition rate (MIR),=,78.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008172,Max inhibition rate (MIR),=,80.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008182,Max inhibition rate (MIR),=,90.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008167,Max inhibition rate (MIR),=,98.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008177,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MOFZM,ADCC008162,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0MQFRJ,ADCC001917,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
